Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_unit
Nissan,Qashqai,0.88,Crossover,0.15791579157915792,0.2708333333333333,Diesel,Manual,0.11573146292585171,0.12,0.45032922988834806,2
Peugeot,Rare,0.94,Crossover,0.1319131913191319,0.2708333333333333,Diesel,Automatic,0.16332665330661322,0.06,0.6593186372745491,2
BMW,X5,0.68,SUV,0.26042604260426044,0.5833333333333334,Petrol,Automatic,0.08816633266533067,0.32,0.3050807497347637,1
Renault,Megane,0.68,Universal,0.011012101210121012,0.2708333333333333,Diesel,Manual,0.03006012024048096,0.32,0.011093952611104563,0
Nissan,Qashqai,0.84,SUV,0.17991799179917992,0.2708333333333333,Diesel,Manual,0.08816633266533067,0.16,0.39879759519038077,1
Ford,Transit Connect,0.82,Minivan,0.15157315731573157,0.3333333333333333,Diesel,Manual,0.03706412825651303,0.18,0.3019198396793587,1
Renault,Scenic,0.88,Microvan,0.1853985398539854,0.2627083333333333,Diesel,Manual,0.07364729458917836,0.12,0.5290008588605783,2
BMW,7 Series,0.76,Sedan,0.21513151315131512,0.5833333333333334,Diesel,Automatic,0.16332665330661322,0.24,0.3297518113149375,1
Volkswagen,Polo,0.72,Hatchback,0.3059185918591859,0.25,Diesel,Manual,0.030561122244488977,0.28,0.4067975951903808,2
BMW,5 Series,0.86,Sedan,0.23117311731173118,0.375,Diesel,Automatic,0.17835671342685372,0.14,0.5772795591182365,2
Vaz,2121niva,0.66,Minivan,0.011901190119011902,0.3125,Petrol,Manual,0.01603206412825651,0.34,0.011356045424181695,0
BMW,5 Series,0.54,Sedan,0.011012101210121012,0.4791666666666667,Petrol,Manual,0.03006012024048096,0.46,0.007273714094856379,0
Nissan,Rare,0.86,Hatchback,0.08700870087008701,0.20833333333333334,Petrol,Manual,0.07765531062124248,0.14,0.21618236472945893,1
Toyota,Avensis,0.58,Sedan,0.41994199419941997,0.2916666666666667,Metan/Propan,Manual,0.028046092184368737,0.42,0.38057934049918013,1
Honda,CR-V,0.62,Universal,0.27502750275027504,0.375,Petrol,Manual,0.05711422845691383,0.38,0.27364729458917836,1
BMW,5 Series,0.88,Sedan,0.18015401540154016,0.375,Diesel,Automatic,0.21342685370741482,0.12,0.5139879759519038,2
Honda,CR-V,0.78,Crossover,0.18291829182918293,0.4166666666666667,Diesel,Manual,0.12824649298597193,0.22,0.30360721442885774,1
Nissan,Rare,0.8,Hatchback,0.19491949194919492,0.2708333333333333,Diesel,Manual,0.05060120240480962,0.2,0.35325195846237933,1
Volkswagen,Passat,0.44,Universal,0.3111851185118512,0.375,Metan/Propan,Manual,0.28857715430861725,0.56,0.21308409923294866,1
Opel,Astra,0.78,Hatchback,0.18991899189918993,0.22916666666666666,Diesel,Manual,0.06312625250501001,0.22,0.3152972611890448,1
Skoda,Rapid,0.9,Universal,0.11591159115911591,0.29125,Petrol,Automatic,0.10120240480961924,0.1,0.3854375417501669,1
Volkswagen,Sharan,0.7,Minivan,0.24992499249924993,0.375,Diesel,Manual,0.06713426853707415,0.3,0.31112224448897796,1
Nissan,Qashqai,0.88,Crossover,0.1489148914891489,0.20833333333333334,Petrol,Automatic,0.12324649298597194,0.12,0.42456341253936447,2
Skoda,Superb,0.9,Sedan,0.1699169916991699,0.375,Diesel,Automatic,0.17324649298597194,0.1,0.5657982631930527,2
Toyota,Land Cruiser,0.6,SUV,0.24992499249924993,0.9375,Metan/Propan,Automatic,0.09809619238476953,0.4,0.23656837484492796,1
Toyota,Corolla,0.7,Universal,0.2559255925592559,0.25,Diesel,Manual,0.053006012024048095,0.3,0.3186372745490982,1
Mazda,Rare,0.62,SUV,0.25492549254925495,0.375,Petrol,Manual,0.03797595190380761,0.38,0.2535070140280561,1
Chevrolet,Rare,0.8,Hatchback,0.18991899189918993,0.25,Plug-in Hybrid,Automatic,0.08967935871743488,0.2,0.344142831116779,1
Mercedes,Rare,0.96,Crossover,0.023902390239023904,0.5833333333333334,Petrol,Automatic,0.5090180360721442,0.04,0.15831663326653306,0
Volkswagen,Passat,0.62,Universal,0.26992699269926995,0.3333333333333333,Petrol,Manual,0.023547094188376753,0.38,0.2685370741482966,1
Volkswagen,Touareg,0.78,SUV,0.23492349234923493,0.5833333333333334,Diesel,Automatic,0.20791583166332667,0.22,0.3904475617902471,1
BMW,5 Series,0.58,Sedan,0.25452945294529455,0.4791666666666667,Petrol,Manual,0.04308617234468938,0.42,0.22991801785388957,1
Renault,Megane,0.76,Universal,0.16491649164916491,0.2708333333333333,Diesel,Manual,0.04808617234468938,0.24,0.2523508555572684,1
Toyota,C-HR,0.92,Crossover,0.1149114911491149,0.3333333333333333,Hybrid,Automatic,0.17834669338677356,0.08,0.4589178356713427,2
BMW,7 Series,0.54,Sedan,0.3499349934993499,0.6875,Petrol,Manual,0.03797595190380761,0.46,0.29024716098864395,1
Mercedes,E Class,0.82,Sedan,0.1499149914991499,0.4791666666666667,Diesel,Automatic,0.14318637274549098,0.18,0.2985971943887776,1
Audi,Rare,0.94,Hatchback,0.030994099409940995,0.5833333333333334,Petrol,Automatic,0.35370741482965934,0.06,0.1537625250501002,0
Renault,Clio,0.7,Hatchback,0.27992799279927993,0.2627083333333333,Diesel,Manual,0.04107214428857715,0.3,0.3486973947895792,1
Citroen,C3,0.82,Hatchback,0.14491449144914492,0.25,Diesel,Automatic,0.06712424849699399,0.18,0.28857715430861725,1
Audi,A6,0.52,Sedan,0.0297029702970297,0.4583333333333333,Metan/Propan,Manual,0.02555110220440882,0.48,0.02188376753507014,0
Ford,Fusion,0.84,Sedan,0.1779177917791779,0.375,Hybrid,Automatic,0.09108216432865732,0.16,0.3943442440436428,1
Toyota,Prius,0.86,Sedan,0.1399139913991399,0.125,Plug-in Hybrid,Automatic,0.11022044088176353,0.14,0.3486973947895792,1
Volkswagen,Vento,0.44,Sedan,0.29992999299929995,0.3333333333333333,Petrol,Manual,0.01503006012024048,0.56,0.20530716605625043,1
Renault,Rare,0.92,Crossover,0.12891289128912892,0.2708333333333333,Diesel,Automatic,0.10811623246492987,0.08,0.5150300601202404,2
Lexus,CT Series,0.82,Hatchback,0.1929192919291929,0.3333333333333333,Hybrid,Automatic,0.10771543086172344,0.18,0.3847695390781563,1
Volvo,XC60,0.78,SUV,0.20192019201920192,0.4583333333333333,Diesel,Automatic,0.14579158316633267,0.22,0.3353373413493654,1
Dacia,Rare,0.84,Minivan,0.20892089208920891,0.2708333333333333,Diesel,Manual,0.05561122244488978,0.16,0.4633711868180806,2
Hyundai,Rare,0.78,Hatchback,0.14491449144914492,0.25,Petrol,Manual,0.045591182364729456,0.22,0.24014696058784235,1
Lexus,CT Series,0.82,Hatchback,0.1939193919391939,0.3333333333333333,Hybrid,Automatic,0.09818637274549098,0.18,0.3867735470941884,1
Volvo,XC90,0.74,SUV,0.24892489248924893,0.4583333333333333,Diesel,Manual,0.11322645290581163,0.26,0.3544231319782422,1
Hyundai,Getz,0.74,Hatchback,0.1419141914191419,0.1875,Petrol,Manual,0.033056112224448896,0.26,0.20125966218150587,1
Mercedes,A Class,0.68,Hatchback,0.2599259925992599,0.2708333333333333,Metan/Propan,Automatic,0.045591182364729456,0.32,0.30449133561240127,1
Mercedes,C Class,0.62,Coupe,0.23992399239923992,0.4375,Petrol,Manual,0.033056112224448896,0.38,0.23847695390781562,1
Jaguar,Rare,0.82,Sedan,0.11991199119911991,0.4166666666666667,Diesel,Automatic,0.1583066132264529,0.18,0.23847695390781562,1
Mercedes,E Class,0.78,Sedan,0.18191819181918192,0.3333333333333333,Petrol,Automatic,0.11573146292585171,0.22,0.301937207748831,1
Skoda,Octavia,0.68,Universal,0.29992999299929995,0.375,Petrol,Manual,0.04808617234468938,0.32,0.35164446540139105,1
Opel,Astra,0.74,Universal,0.30993099309930994,0.22916666666666666,Diesel,Manual,0.04659318637274549,0.26,0.44174062410535353,2
Skoda,Superb,0.86,Sedan,0.1859185918591859,0.2916666666666667,Diesel,Automatic,0.12124248496993988,0.14,0.46392785571142287,2
Volkswagen,Rare,0.8,Pickup,0.1499149914991499,0.375,Diesel,Manual,0.12625250501002003,0.2,0.27126981235197667,1
Mercedes,Vito,0.58,Minivan,0.2579257925792579,0.4166666666666667,Diesel,Automatic,0.028046092184368737,0.42,0.23301147750045548,1
Nissan,Qashqai,0.9,Crossover,0.15091509150915092,0.2708333333333333,Diesel,Manual,0.13717434869739478,0.1,0.5023380093520374,2
BMW,5 Series,0.94,Sedan,0.04590459045904591,0.375,Petrol,Automatic,0.2750501002004008,0.06,0.22845691382765532,1
Renault,Megane,0.78,Universal,0.25703570357035704,0.2708333333333333,Diesel,Manual,0.04808617234468938,0.22,0.42737140948563784,2
Ford,Mondeo,0.9,Sedan,0.16691669166916692,0.2708333333333333,Diesel,Manual,0.1281563126252505,0.1,0.5557782231128924,2
Toyota,C-HR,0.94,Crossover,0.11391139113911392,0.3333333333333333,Hybrid,Automatic,0.1658316633266533,0.06,0.5691382765531062,2
Nissan,Qashqai,0.92,Crossover,0.15751575157515751,0.2708333333333333,Diesel,Manual,0.11813627254509018,0.08,0.6296593186372745,2
Toyota,Auris,0.86,Universal,0.18991899189918993,0.3333333333333333,Hybrid,Automatic,0.08807615230460922,0.14,0.47394789579158314,2
Toyota,C-HR,0.92,Crossover,0.1189118911891189,0.3333333333333333,Hybrid,Automatic,0.18627254509018035,0.08,0.4749498997995992,2
Peugeot,Rare,0.94,Crossover,0.14491449144914492,0.2708333333333333,Diesel,Automatic,0.1662324649298597,0.06,0.7244488977955912,2
Renault,Kadjar,0.9,Crossover,0.15011501150115011,0.2708333333333333,Diesel,Automatic,0.13276553106212424,0.1,0.4996659986639946,2
Lexus,NX Series,0.88,SUV,0.1489148914891489,0.4791666666666667,Hybrid,Automatic,0.2159318637274549,0.12,0.42456341253936447,2
Volkswagen,Passat,0.7,Sedan,0.2159215921592159,0.375,Petrol,Automatic,0.051603206412825654,0.3,0.2685370741482966,1
Infiniti,Rare,0.9,Crossover,0.08790879087908791,0.2708333333333333,Diesel,Automatic,0.1562124248496994,0.1,0.29191716766867065,1
Volkswagen,Passat,0.72,Universal,0.3199319931993199,0.2916666666666667,Metan/Propan,Manual,0.0581062124248497,0.28,0.4255177020708082,2
Hyundai,Matrix,0.7,Hatchback,0.29792979297929795,0.2708333333333333,Diesel,Manual,0.028046092184368737,0.3,0.3712424849699399,1
Honda,Civic,0.92,Hatchback,0.02704070407040704,0.2708333333333333,Petrol,Automatic,0.1312625250501002,0.08,0.10676553106212426,0
Renault,Kadjar,0.9,Crossover,0.1399139913991399,0.2708333333333333,Diesel,Automatic,0.12224448897795591,0.1,0.46559786239144946,2
Skoda,Octavia,0.82,Sedan,0.16591659165916592,0.2916666666666667,Diesel,Automatic,0.08807615230460922,0.18,0.3306613226452906,1
Skoda,Superb,0.76,Sedan,0.2229222922292229,0.375,Diesel,Automatic,0.08807615230460922,0.24,0.3417604439648528,1
